,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
756,2023-12-17 20:09:47.950741,USDT,ADAUSDT,0.59040000,ADAGBP,0.47770000,GBPUSDT,1.23700000,200.0,200.114,0.2280000000000086,BUY_SELL_SELL
713,2023-12-17 20:09:47.950048,USDT,EURUSDT,1.09280000,ADAEUR,0.53980000,ADAUSDT,0.59040000,200.0,200.112,0.22399999999998954,BUY_BUY_SELL
24,2023-12-17 20:09:47.939578,USDT,LINKUSDT,14.09000000,LINKETH,0.00637800,ETHUSDT,2211.04000000,200.0,200.111,0.22199999999998,BUY_SELL_SELL
112,2023-12-17 20:09:47.941860,USDT,FTMUSDT,0.40440000,FTMBNB,0.00168010,BNBUSDT,240.90000000,200.0,200.106,0.2119999999999891,BUY_SELL_SELL
255,2023-12-17 20:09:47.944236,USDT,TUSDUSDT,0.99810000,RDNTTUSD,0.27800000,RDNTUSDT,0.27770000,200.0,200.10399999999998,0.20799999999996996,BUY_BUY_SELL
710,2023-12-17 20:09:47.950018,USDT,LINKUSDT,14.09000000,LINKEUR,12.90400000,EURUSDT,1.09280000,200.0,200.103,0.20600000000001728,BUY_SELL_SELL
162,2023-12-17 20:09:47.942680,USDT,BNBUSDT,240.90000000,CTKBNB,0.00277900,CTKUSDT,0.67000000,200.0,200.101,0.20199999999999818,BUY_BUY_SELL
226,2023-12-17 20:09:47.943859,USDT,ADAUSDT,0.59040000,ADATUSD,0.59200000,TUSDUSDT,0.99810000,200.0,200.101,0.20199999999999818,BUY_SELL_SELL
13,2023-12-17 20:09:47.937904,USDT,BTCUSDT,41671.94000000,AAVEBTC,0.00245200,AAVEUSDT,102.26000000,200.0,200.097,0.19400000000001683,BUY_BUY_SELL
213,2023-12-17 20:09:47.943637,USDT,BNBUSDT,240.90000000,OPBNB,0.00863600,OPUSDT,2.08200000,200.0,200.093,0.18599999999997863,BUY_BUY_SELL
