,time,base,script1,script_price1,script2,script_price2,script3,script_price3,initial base quantity,final base quantity,profit,arbitrage type
90,2023-12-17 20:09:47.941527,USDT,TUSDUSDT,0.99810000,TUSDBNB,0.06777000,BNBUSDT,240.90000000,200.0,3271.314,6142.628,BUY_SELL_SELL
303,2023-12-17 20:09:47.944863,USDT,PAXUSDT,0.99960000,ERDPAX,0.00125270,ERDUSDT,0.01971000,200.0,3148.002,5896.004,BUY_BUY_SELL
85,2023-12-17 20:09:47.941460,USDT,XEMUSDT,0.03795000,XEMBNB,0.00244100,BNBUSDT,240.90000000,200.0,3098.949,5797.898,BUY_SELL_SELL
242,2023-12-17 20:09:47.944059,USDT,TUSDUSDT,0.99810000,TFUELTUSD,0.00307700,TFUELUSDT,0.04470000,200.0,2910.898,5421.796,BUY_BUY_SELL
332,2023-12-17 20:09:47.945239,USDT,USDCUSDT,1.00090000,ERDUSDC,0.00135730,ERDUSDT,0.01971000,200.0,2901.6240000000003,5403.2480000000005,BUY_BUY_SELL
70,2023-12-17 20:09:47.941228,USDT,XZCUSDT,4.44600000,XZCBNB,0.26750000,BNBUSDT,240.90000000,200.0,2898.759,5397.518,BUY_SELL_SELL
131,2023-12-17 20:09:47.942239,USDT,IRISUSDT,0.02776000,IRISBNB,0.00166200,BNBUSDT,240.90000000,200.0,2884.492,5368.984,BUY_SELL_SELL
306,2023-12-17 20:09:47.944900,USDT,PAXUSDT,0.99960000,ANKRPAX,0.00209300,ANKRUSDT,0.02826000,200.0,2701.451,5002.902,BUY_BUY_SELL
36,2023-12-17 20:09:47.940242,USDT,HCUSDT,0.84230000,HCETH,0.00513400,ETHUSDT,2211.04000000,200.0,2695.293,4990.586,BUY_SELL_SELL
335,2023-12-17 20:09:47.945274,USDT,USDCUSDT,1.00090000,ANKRUSDC,0.00209700,ANKRUSDT,0.02826000,200.0,2692.795,4985.59,BUY_BUY_SELL
71,2023-12-17 20:09:47.941241,USDT,LSKUSDT,1.16900000,LSKBNB,0.06494000,BNBUSDT,240.90000000,200.0,2676.4230000000002,4952.8460000000005,BUY_SELL_SELL
247,2023-12-17 20:09:47.944122,USDT,TUSDUSDT,0.99810000,ANKRTUSD,0.00212800,ANKRUSDT,0.02826000,200.0,2661.011,4922.022,BUY_BUY_SELL
64,2023-12-17 20:09:47.941142,USDT,NULSUSDT,0.23190000,NULSBNB,0.01257000,BNBUSDT,240.90000000,200.0,2611.5080000000003,4823.0160000000005,BUY_SELL_SELL
298,2023-12-17 20:09:47.944802,USDT,PAXUSDT,0.99960000,TFUELPAX,0.00348700,TFUELUSDT,0.04470000,200.0,2564.774,4729.548,BUY_BUY_SELL
327,2023-12-17 20:09:47.945181,USDT,USDCUSDT,1.00090000,TFUELUSDC,0.00356500,TFUELUSDT,0.04470000,200.0,2505.399,4610.798,BUY_BUY_SELL
80,2023-12-17 20:09:47.941380,USDT,PIVXUSDT,0.32440000,PIVXBNB,0.01660000,BNBUSDT,240.90000000,200.0,2465.378,4530.756,BUY_SELL_SELL
101,2023-12-17 20:09:47.941676,USDT,DCRUSDT,15.34000000,DCRBNB,0.78100000,BNBUSDT,240.90000000,200.0,2452.911,4505.822,BUY_SELL_SELL
30,2023-12-17 20:09:47.939814,USDT,BCCUSDT,448.70000000,BCCETH,2.47246000,ETHUSDT,2211.04000000,200.0,2436.627,4473.254,BUY_SELL_SELL
109,2023-12-17 20:09:47.941806,USDT,OMGUSDT,0.81400000,OMGBNB,0.03938000,BNBUSDT,240.90000000,200.0,2330.81,4261.62,BUY_SELL_SELL
133,2023-12-17 20:09:47.942262,USDT,DAIUSDT,1.01890000,DAIBNB,0.04876000,BNBUSDT,240.90000000,200.0,2305.619,4211.238,BUY_SELL_SELL
342,2023-12-17 20:09:47.945373,USDT,USDSUSDT,0.99680000,BNBUSDS,22.27880000,BNBUSDT,240.90000000,200.0,2169.477,3938.9539999999997,BUY_BUY_SELL
482,2023-12-17 20:09:47.947064,USDT,TRUUSDT,0.05060000,TRUBUSD,0.53570000,BUSDUSDT,1.00030000,200.0,2117.967,3835.934,BUY_SELL_SELL
125,2023-12-17 20:09:47.942117,USDT,STRATUSDT,0.49040000,STRATBNB,0.01900000,BNBUSDT,240.90000000,200.0,1866.6200000000001,3333.24,BUY_SELL_SELL
77,2023-12-17 20:09:47.941339,USDT,NEBLUSDT,0.35500000,NEBLBNB,0.01356000,BNBUSDT,240.90000000,200.0,1840.28,3280.56,BUY_SELL_SELL
334,2023-12-17 20:09:47.945262,USDT,USDCUSDT,1.00090000,DUSKUSDC,0.01790000,DUSKUSDT,0.15930000,200.0,1778.228,3156.456,BUY_BUY_SELL
155,2023-12-17 20:09:47.942595,USDT,FLMUSDT,0.09310000,FLMBNB,0.00333000,BNBUSDT,240.90000000,200.0,1723.242,3046.484,BUY_SELL_SELL
305,2023-12-17 20:09:47.944888,USDT,PAXUSDT,0.99960000,DUSKPAX,0.01890000,DUSKUSDT,0.15930000,200.0,1686.329,2972.658,BUY_BUY_SELL
788,2023-12-17 20:09:47.951295,USDT,CAKEUSDT,2.26400000,CAKEAUD,25.61000000,AUDUSDT,0.72520000,200.0,1640.6090000000002,2881.2180000000003,BUY_SELL_SELL
124,2023-12-17 20:09:47.942104,USDT,LTOUSDT,0.07430000,LTOBNB,0.00248000,BNBUSDT,240.90000000,200.0,1608.102,2816.204,BUY_SELL_SELL
4,2023-12-17 20:09:47.937034,USDT,BCHSVUSDT,58.90000000,BCHSVBTC,0.01117900,BTCUSDT,41671.94000000,200.0,1581.776,2763.552,BUY_SELL_SELL
516,2023-12-17 20:09:47.947461,USDT,BUSDUSDT,1.00030000,SUPERBUSD,0.07270000,SUPERUSDT,0.56880000,200.0,1564.257,2728.514,BUY_BUY_SELL
98,2023-12-17 20:09:47.941635,USDT,ARDRUSDT,0.09880000,ARDRBNB,0.00316800,BNBUSDT,240.90000000,200.0,1544.8210000000001,2689.6420000000003,BUY_SELL_SELL
383,2023-12-17 20:09:47.945872,USDT,AIONUSDT,0.00943000,AIONBUSD,0.07210000,BUSDUSDT,1.00030000,200.0,1529.5610000000001,2659.1220000000003,BUY_SELL_SELL
84,2023-12-17 20:09:47.941449,USDT,QTUMUSDT,3.14300000,QTUMBNB,0.09597000,BNBUSDT,240.90000000,200.0,1471.093,2542.186,BUY_SELL_SELL
1,2023-12-17 20:09:47.936276,USDT,BCCUSDT,448.70000000,BCCBTC,0.07908100,BTCUSDT,41671.94000000,200.0,1468.832,2537.664,BUY_SELL_SELL
12,2023-12-17 20:09:47.937739,USDT,YFIIUSDT,435.50000000,YFIIBTC,0.07249000,BTCUSDT,41671.94000000,200.0,1387.218,2374.436,BUY_SELL_SELL
427,2023-12-17 20:09:47.946403,USDT,BUSDUSDT,1.00030000,SRMBUSD,0.03530000,SRMUSDT,0.24442000,200.0,1384.3410000000001,2368.6820000000002,BUY_BUY_SELL
72,2023-12-17 20:09:47.941260,USDT,ADXUSDT,0.17550000,ADXBNB,0.00492900,BNBUSDT,240.90000000,200.0,1353.098,2306.196,BUY_SELL_SELL
105,2023-12-17 20:09:47.941741,USDT,ZRXUSDT,0.37640000,ZRXBNB,0.01045000,BNBUSDT,240.90000000,200.0,1337.5620000000001,2275.1240000000003,BUY_SELL_SELL
27,2023-12-17 20:09:47.939673,USDT,BTGUSDT,17.65000000,BTGETH,0.05274500,ETHUSDT,2211.04000000,200.0,1321.428,2242.856,BUY_SELL_SELL
424,2023-12-17 20:09:47.946368,USDT,BUSDUSDT,1.00030000,BLZBUSD,0.05530000,BLZUSDT,0.35380000,200.0,1279.122,2158.244,BUY_BUY_SELL
82,2023-12-17 20:09:47.941406,USDT,NANOUSDT,2.22400000,NANOBNB,0.05589000,BNBUSDT,240.90000000,200.0,1210.722,2021.444,BUY_SELL_SELL
32,2023-12-17 20:09:47.939914,USDT,LENDUSDT,0.51431000,LENDETH,0.00137174,ETHUSDT,2211.04000000,200.0,1179.373,1958.746,BUY_SELL_SELL
785,2023-12-17 20:09:47.951257,USDT,EOSUSDT,0.81600000,EOSAUD,6.55500000,AUDUSDT,0.72520000,200.0,1165.059,1930.118,BUY_SELL_SELL
145,2023-12-17 20:09:47.942446,USDT,BZRXUSDT,0.21560000,BZRXBNB,0.00514000,BNBUSDT,240.90000000,200.0,1148.573,1897.146,BUY_SELL_SELL
115,2023-12-17 20:09:47.941930,USDT,TOMOUSDT,1.38190000,TOMOBNB,0.03255000,BNBUSDT,240.90000000,200.0,1134.797,1869.594,BUY_SELL_SELL
789,2023-12-17 20:09:47.951307,USDT,KSMUSDT,30.04000000,KSMAUD,234.80000000,AUDUSDT,0.72520000,200.0,1133.608,1867.216,BUY_SELL_SELL
197,2023-12-17 20:09:47.943189,USDT,MOVRUSDT,6.70400000,MOVRBNB,0.15520000,BNBUSDT,240.90000000,200.0,1115.324,1830.6480000000001,BUY_SELL_SELL
3,2023-12-17 20:09:47.937017,USDT,BCHABCUSDT,220.08000000,BCHABCBTC,0.02933000,BTCUSDT,41671.94000000,200.0,1110.661,1821.322,BUY_SELL_SELL
175,2023-12-17 20:09:47.942859,USDT,TORNUSDT,4.06000000,TORNBNB,0.09058000,BNBUSDT,240.90000000,200.0,1074.852,1749.7040000000002,BUY_SELL_SELL
338,2023-12-17 20:09:47.945326,USDT,PERLUSDT,0.00460000,PERLUSDC,0.02447000,USDCUSDT,1.00090000,200.0,1064.8110000000001,1729.622,BUY_SELL_SELL
239,2023-12-17 20:09:47.944024,USDT,TUSDUSDT,0.99810000,ETCTUSD,3.79500000,ETCUSDT,20.06000000,200.0,1059.133,1718.2660000000003,BUY_BUY_SELL
245,2023-12-17 20:09:47.944102,USDT,ALGOUSDT,0.19330000,ALGOTUSD,1.01700000,TUSDUSDT,0.99810000,200.0,1050.191,1700.382,BUY_SELL_SELL
570,2023-12-17 20:09:47.948260,USDT,BUSDUSDT,1.00030000,RAYBUSD,0.17010000,RAYUSDT,0.88390000,200.0,1038.8990000000001,1677.7980000000002,BUY_BUY_SELL
224,2023-12-17 20:09:47.943836,USDT,EOSUSDT,0.81600000,EOSTUSD,4.11590000,TUSDUSDT,0.99810000,200.0,1006.822,1613.6439999999998,BUY_SELL_SELL
79,2023-12-17 20:09:47.941366,USDT,RLCUSDT,1.66500000,RLCBNB,0.03344000,BNBUSDT,240.90000000,200.0,967.591,1535.1819999999998,BUY_SELL_SELL
22,2023-12-17 20:09:47.939517,USDT,STRATUSDT,0.49040000,STRATETH,0.00105300,ETHUSDT,2211.04000000,200.0,949.461,1498.922,BUY_SELL_SELL
93,2023-12-17 20:09:47.941562,USDT,CVCUSDT,0.10720000,CVCBNB,0.00211200,BNBUSDT,240.90000000,200.0,949.158,1498.3159999999998,BUY_SELL_SELL
21,2023-12-17 20:09:47.939467,USDT,MCOUSDT,2.74400000,MCOETH,0.00577200,ETHUSDT,2211.04000000,200.0,930.124,1460.248,BUY_SELL_SELL
481,2023-12-17 20:09:47.947047,USDT,BUSDUSDT,1.00030000,BTCSTBUSD,1.16000000,BTCSTUSDT,5.35000000,200.0,922.077,1444.154,BUY_BUY_SELL
409,2023-12-17 20:09:47.946190,USDT,BUSDUSDT,1.00030000,STORJBUSD,0.23710000,STORJUSDT,1.07060000,200.0,902.748,1405.496,BUY_BUY_SELL
75,2023-12-17 20:09:47.941311,USDT,ICXUSDT,0.25320000,ICXBNB,0.00465400,BNBUSDT,240.90000000,200.0,885.523,1371.0459999999998,BUY_SELL_SELL
343,2023-12-17 20:09:47.945385,USDT,USDSUSDT,0.99680000,BTCUSDS,9604.59000000,BTCUSDT,41671.94000000,200.0,870.476,1340.9519999999998,BUY_BUY_SELL
238,2023-12-17 20:09:47.944012,USDT,TUSDUSDT,0.99810000,ATOMTUSD,2.59800000,ATOMUSDT,11.25300000,200.0,867.8710000000001,1335.7420000000002,BUY_BUY_SELL
81,2023-12-17 20:09:47.941394,USDT,STEEMUSDT,0.25200000,STEEMBNB,0.00448000,BNBUSDT,240.90000000,200.0,856.4730000000001,1312.946,BUY_SELL_SELL
324,2023-12-17 20:09:47.945146,USDT,USDCUSDT,1.00090000,ETCUSDC,4.71000000,ETCUSDT,20.06000000,200.0,850.979,1301.958,BUY_BUY_SELL
191,2023-12-17 20:09:47.943096,USDT,FIDAUSDT,0.30910000,FIDABNB,0.00543000,BNBUSDT,240.90000000,200.0,846.3240000000001,1292.6480000000001,BUY_SELL_SELL
613,2023-12-17 20:09:47.948795,USDT,BUSDUSDT,1.00030000,QIBUSD,0.00507000,QIUSDT,0.02132000,200.0,840.7130000000001,1281.426,BUY_BUY_SELL
295,2023-12-17 20:09:47.944766,USDT,PAXUSDT,0.99960000,ETCPAX,4.83800000,ETCUSDT,20.06000000,200.0,829.5400000000001,1259.08,BUY_BUY_SELL
790,2023-12-17 20:09:47.951319,USDT,UNIUSDT,6.12500000,UNIAUD,34.47000000,AUDUSDT,0.72520000,200.0,816.19,1232.38,BUY_SELL_SELL
241,2023-12-17 20:09:47.944048,USDT,TUSDUSDT,0.99810000,PHBTUSD,0.22900000,PHBUSDT,0.88960000,200.0,778.3620000000001,1156.7240000000002,BUY_BUY_SELL
553,2023-12-17 20:09:47.948052,USDT,BUSDUSDT,1.00030000,HNTBUSD,1.22800000,HNTUSDT,4.67000000,200.0,760.298,1120.596,BUY_BUY_SELL
337,2023-12-17 20:09:47.945309,USDT,USDCUSDT,1.00090000,TOMOUSDC,0.36700000,TOMOUSDT,1.38190000,200.0,752.3420000000001,1104.6840000000002,BUY_BUY_SELL
174,2023-12-17 20:09:47.942847,USDT,GTCUSDT,1.19300000,GTCBNB,0.01860000,BNBUSDT,240.90000000,200.0,751.1120000000001,1102.2240000000002,BUY_SELL_SELL
307,2023-12-17 20:09:47.944917,USDT,ONTUSDT,0.22930000,ONTPAX,0.84510000,PAXUSDT,0.99960000,200.0,736.758,1073.516,BUY_SELL_SELL
104,2023-12-17 20:09:47.941723,USDT,ONGUSDT,0.36070000,ONGBNB,0.00545000,BNBUSDT,240.90000000,200.0,727.916,1055.8319999999999,BUY_SELL_SELL
636,2023-12-17 20:09:47.949083,USDT,BUSDUSDT,1.00030000,USTBUSD,0.06762946,USTUSDT,0.24577900,200.0,726.562,1053.1239999999998,BUY_BUY_SELL
726,2023-12-17 20:09:47.950260,USDT,WRXUSDT,0.17310000,WRXEUR,0.57460000,EURUSDT,1.09280000,200.0,725.4430000000001,1050.886,BUY_SELL_SELL
366,2023-12-17 20:09:47.945670,USDT,BTSUSDT,0.00540000,BTSBUSD,0.01930000,BUSDUSDT,1.00030000,200.0,714.969,1029.938,BUY_SELL_SELL
778,2023-12-17 20:09:47.951168,USDT,SXPUSDT,0.38220000,SXPAUD,1.86800000,AUDUSDT,0.72520000,200.0,708.822,1017.644,BUY_SELL_SELL
294,2023-12-17 20:09:47.944754,USDT,PAXUSDT,0.99960000,ATOMPAX,3.17800000,ATOMUSDT,11.25300000,200.0,708.4050000000001,1016.8100000000001,BUY_BUY_SELL
284,2023-12-17 20:09:47.944629,USDT,PAXUSDT,0.99960000,LINKPAX,3.98340000,LINKUSDT,14.09000000,200.0,707.6590000000001,1015.3180000000001,BUY_BUY_SELL
765,2023-12-17 20:09:47.950844,USDT,GBPUSDT,1.23700000,RUNEGBP,1.27800000,RUNEUSDT,5.59000000,200.0,707.138,1014.276,BUY_BUY_SELL
210,2023-12-17 20:09:47.943570,USDT,BNBUSDT,240.90000000,IMXBNB,0.00236200,IMXUSDT,1.99960000,200.0,702.7800000000001,1005.5600000000001,BUY_BUY_SELL
532,2023-12-17 20:09:47.947794,USDT,BUSDUSDT,1.00030000,POLSBUSD,0.25670000,POLSUSDT,0.89860000,200.0,699.8470000000001,999.6940000000001,BUY_BUY_SELL
787,2023-12-17 20:09:47.951277,USDT,AUDUSDT,0.72520000,SOLAUD,28.48000000,SOLUSDT,72.00000000,200.0,697.152,994.304,BUY_BUY_SELL
243,2023-12-17 20:09:47.944072,USDT,TUSDUSDT,0.99810000,ONETUSD,0.00472000,ONEUSDT,0.01555000,200.0,660.0930000000001,920.186,BUY_BUY_SELL
554,2023-12-17 20:09:47.948064,USDT,BUSDUSDT,1.00030000,FTTBUSD,1.13000000,FTTUSDT,3.68450000,200.0,651.868,903.736,BUY_BUY_SELL
116,2023-12-17 20:09:47.941955,USDT,BANDUSDT,1.66300000,BANDBNB,0.02248000,BNBUSDT,240.90000000,200.0,651.225,902.4499999999999,BUY_SELL_SELL
791,2023-12-17 20:09:47.951334,USDT,AUDUSDT,0.72520000,AVAXAUD,17.91000000,AVAXUSDT,41.14000000,200.0,633.432,866.864,BUY_BUY_SELL
281,2023-12-17 20:09:47.944598,USDT,EOSUSDT,0.81600000,EOSPAX,2.58450000,PAXUSDT,0.99960000,200.0,633.143,866.2860000000001,BUY_SELL_SELL
299,2023-12-17 20:09:47.944814,USDT,PAXUSDT,0.99960000,ONEPAX,0.00496000,ONEUSDT,0.01555000,200.0,627.2070000000001,854.4140000000001,BUY_BUY_SELL
502,2023-12-17 20:09:47.947295,USDT,BUSDUSDT,1.00030000,AUCTIONBUSD,8.04000000,AUCTIONUSDT,25.21000000,200.0,626.8660000000001,853.7320000000001,BUY_BUY_SELL
629,2023-12-17 20:09:47.948992,USDT,BUSDUSDT,1.00030000,CTXCBUSD,0.11500000,CTXCUSDT,0.35350000,200.0,614.538,829.0759999999999,BUY_BUY_SELL
640,2023-12-17 20:09:47.949132,USDT,BUSDUSDT,1.00030000,IMXBUSD,0.65080000,IMXUSDT,1.99960000,200.0,614.2610000000001,828.522,BUY_BUY_SELL
87,2023-12-17 20:09:47.941484,USDT,SYSUSDT,0.12940000,SYSBNB,0.00163500,BNBUSDT,240.90000000,200.0,608.706,817.4119999999998,BUY_SELL_SELL
699,2023-12-17 20:09:47.949860,USDT,BUSDUSDT,1.00030000,OSMOBUSD,0.46400000,OSMOUSDT,1.41080000,200.0,607.8610000000001,815.7220000000001,BUY_BUY_SELL
328,2023-12-17 20:09:47.945193,USDT,USDCUSDT,1.00090000,ONEUSDC,0.00520000,ONEUSDT,0.01555000,200.0,597.479,794.958,BUY_BUY_SELL
123,2023-12-17 20:09:47.942064,USDT,BNBUSDT,240.90000000,FTTBNB,0.00513000,FTTUSDT,3.68450000,200.0,596.226,792.4519999999999,BUY_BUY_SELL
285,2023-12-17 20:09:47.944641,USDT,PAXUSDT,0.99960000,WAVESPAX,0.80290000,WAVESUSDT,2.38800000,200.0,595.022,790.044,BUY_BUY_SELL
127,2023-12-17 20:09:47.942165,USDT,HIVEUSDT,0.35020000,HIVEBNB,0.00429000,BNBUSDT,240.90000000,200.0,590.152,780.304,BUY_SELL_SELL
282,2023-12-17 20:09:47.944605,USDT,PAXUSDT,0.99960000,XLMPAX,0.04221000,XLMUSDT,0.12360000,200.0,585.8180000000001,771.6360000000001,BUY_BUY_SELL
400,2023-12-17 20:09:47.946075,USDT,REPUSDT,4.73000000,REPBUSD,13.67300000,BUSDUSDT,1.00030000,200.0,578.253,756.506,BUY_SELL_SELL
222,2023-12-17 20:09:47.943779,USDT,XZCUSDT,4.44600000,XZCXRP,20.79200000,XRPUSDT,0.61550000,200.0,575.625,751.2499999999999,BUY_SELL_SELL
637,2023-12-17 20:09:47.949096,USDT,BUSDUSDT,1.00030000,JOEBUSD,0.21880000,JOEUSDT,0.62920000,200.0,574.9050000000001,749.8100000000001,BUY_BUY_SELL
530,2023-12-17 20:09:47.947638,USDT,BUSDUSDT,1.00030000,ICPBUSD,3.89700000,ICPUSDT,11.15200000,200.0,572.1060000000001,744.2120000000001,BUY_BUY_SELL
121,2023-12-17 20:09:47.942033,USDT,CTXCUSDT,0.35350000,CTXCBNB,0.00412200,BNBUSDT,240.90000000,200.0,561.745,723.4899999999999,BUY_SELL_SELL
149,2023-12-17 20:09:47.942506,USDT,DIAUSDT,0.32800000,DIABNB,0.00381300,BNBUSDT,240.90000000,200.0,560.033,720.0659999999999,BUY_SELL_SELL
686,2023-12-17 20:09:47.949705,USDT,BUSDUSDT,1.00030000,LOOMBUSD,0.04003000,LOOMUSDT,0.11182000,200.0,558.4530000000001,716.9060000000001,BUY_BUY_SELL
442,2023-12-17 20:09:47.946587,USDT,YFIIUSDT,435.50000000,YFIIBUSD,1192.00000000,BUSDUSDT,1.00030000,200.0,547.5210000000001,695.042,BUY_SELL_SELL
308,2023-12-17 20:09:47.944929,USDT,BCHUSDT,227.20000000,BCHPAX,617.72000000,PAXUSDT,0.99960000,200.0,543.49,686.9799999999999,BUY_SELL_SELL
671,2023-12-17 20:09:47.949521,USDT,BUSDUSDT,1.00030000,USTCBUSD,0.01326580,USTCUSDT,0.03594322,200.0,541.6700000000001,683.34,BUY_BUY_SELL
325,2023-12-17 20:09:47.945162,USDT,BATUSDT,0.23570000,BATUSDC,0.63130000,USDCUSDT,1.00090000,200.0,536.1030000000001,672.206,BUY_SELL_SELL
616,2023-12-17 20:09:47.948833,USDT,BUSDUSDT,1.00030000,AMPBUSD,0.00142900,AMPUSDT,0.00378900,200.0,530.0820000000001,660.1640000000001,BUY_BUY_SELL
504,2023-12-17 20:09:47.947319,USDT,BUSDUSDT,1.00030000,TVKBUSD,0.02043000,TVKUSDT,0.05405000,200.0,528.9050000000001,657.8100000000001,BUY_BUY_SELL
63,2023-12-17 20:09:47.941129,USDT,POWRUSDT,0.35400000,POWRBNB,0.00385000,BNBUSDT,240.90000000,200.0,523.932,647.8639999999999,BUY_SELL_SELL
83,2023-12-17 20:09:47.941431,USDT,ONTUSDT,0.22930000,ONTBNB,0.00246200,BNBUSDT,240.90000000,200.0,517.25,634.4999999999999,BUY_SELL_SELL
139,2023-12-17 20:09:47.942351,USDT,CRVUSDT,0.64150000,CRVBNB,0.00687000,BNBUSDT,240.90000000,200.0,515.913,631.8259999999999,BUY_SELL_SELL
544,2023-12-17 20:09:47.947950,USDT,XEMUSDT,0.03795000,XEMBUSD,0.09630000,BUSDUSDT,1.00030000,200.0,507.602,615.204,BUY_SELL_SELL
469,2023-12-17 20:09:47.946903,USDT,BUSDUSDT,1.00030000,STRAXBUSD,0.47100000,STRAXUSDT,1.19400000,200.0,506.794,613.588,BUY_BUY_SELL
531,2023-12-17 20:09:47.947781,USDT,BUSDUSDT,1.00030000,ARBUSD,3.85200000,ARUSDT,9.65900000,200.0,501.295,602.59,BUY_BUY_SELL
451,2023-12-17 20:09:47.946692,USDT,FLMUSDT,0.09310000,FLMBUSD,0.23210000,BUSDUSDT,1.00030000,200.0,498.693,597.386,BUY_SELL_SELL
336,2023-12-17 20:09:47.945290,USDT,ONTUSDT,0.22930000,ONTUSDC,0.57080000,USDCUSDT,1.00090000,200.0,498.251,596.502,BUY_SELL_SELL
311,2023-12-17 20:09:47.944992,USDT,USDCUSDT,1.00090000,XLMUSDC,0.04970000,XLMUSDT,0.12360000,200.0,496.877,593.754,BUY_BUY_SELL
147,2023-12-17 20:09:47.942471,USDT,YFIIUSDT,435.50000000,YFIIBNB,4.42000000,BNBUSDT,240.90000000,200.0,488.931,577.862,BUY_SELL_SELL
777,2023-12-17 20:09:47.951151,USDT,AUDUSDT,0.72520000,LINKAUD,7.98600000,LINKUSDT,14.09000000,200.0,486.52,573.04,BUY_BUY_SELL
547,2023-12-17 20:09:47.947980,USDT,BUSDUSDT,1.00030000,TORNBUSD,1.69000000,TORNUSDT,4.06000000,200.0,480.269,560.538,BUY_BUY_SELL
766,2023-12-17 20:09:47.950874,USDT,APEUSDT,1.70400000,APEGBP,3.30500000,GBPUSDT,1.23700000,200.0,479.786,559.572,BUY_SELL_SELL
28,2023-12-17 20:09:47.939722,USDT,ARKUSDT,0.97230000,ARKETH,0.00104600,ETHUSDT,2211.04000000,200.0,475.667,551.334,BUY_SELL_SELL
137,2023-12-17 20:09:47.942315,USDT,YFIUSDT,8352.00000000,YFIBNB,82.19000000,BNBUSDT,240.90000000,200.0,474.068,548.136,BUY_SELL_SELL
288,2023-12-17 20:09:47.944682,USDT,LTCUSDT,72.25000000,LTCPAX,171.13000000,PAXUSDT,0.99960000,200.0,473.467,546.934,BUY_SELL_SELL
194,2023-12-17 20:09:47.943146,USDT,CHESSUSDT,0.19180000,CHESSBNB,0.00188500,BNBUSDT,240.90000000,200.0,473.45,546.9,BUY_SELL_SELL
614,2023-12-17 20:09:47.948808,USDT,BUSDUSDT,1.00030000,POWRBUSD,0.15040000,POWRUSDT,0.35400000,200.0,470.543,541.086,BUY_BUY_SELL
767,2023-12-17 20:09:47.950881,USDT,GBPUSDT,1.23700000,AVAXGBP,14.18000000,AVAXUSDT,41.14000000,200.0,469.022,538.044,BUY_BUY_SELL
678,2023-12-17 20:09:47.949611,USDT,GTOUSDT,0.01233000,GTOBUSD,0.02863000,BUSDUSDT,1.00030000,200.0,464.475,528.95,BUY_SELL_SELL
454,2023-12-17 20:09:47.946723,USDT,BUSDUSDT,1.00030000,ALPHABUSD,0.07710000,ALPHAUSDT,0.17900000,200.0,464.133,528.266,BUY_BUY_SELL
582,2023-12-17 20:09:47.948403,USDT,BUSDUSDT,1.00030000,ELFBUSD,0.34030000,ELFUSDT,0.78850000,200.0,463.216,526.432,BUY_BUY_SELL
586,2023-12-17 20:09:47.948451,USDT,BUSDUSDT,1.00030000,ILVBUSD,39.06000000,ILVUSDT,89.91000000,200.0,460.171,520.342,BUY_BUY_SELL
783,2023-12-17 20:09:47.951232,USDT,RUNEUSDT,5.59000000,RUNEAUD,17.40400000,AUDUSDT,0.72520000,200.0,451.51,503.02,BUY_SELL_SELL
648,2023-12-17 20:09:47.949226,USDT,BUSDUSDT,1.00030000,WOOBUSD,0.16450000,WOOUSDT,0.37030000,200.0,450.018,500.03599999999994,BUY_BUY_SELL
322,2023-12-17 20:09:47.945127,USDT,NEOUSDT,12.66000000,NEOUSDC,28.27000000,USDCUSDT,1.00090000,200.0,446.945,493.89000000000004,BUY_SELL_SELL
232,2023-12-17 20:09:47.943926,USDT,TUSDUSDT,0.99810000,WAVESTUSD,1.07200000,WAVESUSDT,2.38800000,200.0,446.31,492.61999999999995,BUY_BUY_SELL
417,2023-12-17 20:09:47.946286,USDT,BUSDUSDT,1.00030000,ZRXBUSD,0.16890000,ZRXUSDT,0.37640000,200.0,445.514,491.028,BUY_BUY_SELL
410,2023-12-17 20:09:47.946207,USDT,IRISUSDT,0.02776000,IRISBUSD,0.06080000,BUSDUSDT,1.00030000,200.0,438.112,476.22400000000005,BUY_SELL_SELL
798,2023-12-17 20:09:47.951428,USDT,USDPUSDT,1.00080000,BTCUSDP,19435.03000000,BTCUSDT,41671.94000000,200.0,428.43,456.86,BUY_BUY_SELL
340,2023-12-17 20:09:47.945346,USDT,USDCUSDT,1.00090000,SOLUSDC,33.68000000,SOLUSDT,72.00000000,200.0,427.109,454.2179999999999,BUY_BUY_SELL
51,2023-12-17 20:09:47.940731,USDT,FARMUSDT,32.88000000,FARMETH,0.03152000,ETHUSDT,2211.04000000,200.0,423.85699999999997,447.71399999999994,BUY_SELL_SELL
438,2023-12-17 20:09:47.946535,USDT,BUSDUSDT,1.00030000,WNXMBUSD,22.16500000,WNXMUSDT,46.54000000,200.0,419.755,439.51000000000005,BUY_BUY_SELL
190,2023-12-17 20:09:47.943073,USDT,BNBUSDT,240.90000000,ILVBNB,0.17900000,ILVUSDT,89.91000000,200.0,416.952,433.904,BUY_BUY_SELL
192,2023-12-17 20:09:47.943103,USDT,BNBUSDT,240.90000000,AGLDBNB,0.00190000,AGLDUSDT,0.94800000,200.0,414.176,428.3519999999999,BUY_BUY_SELL
441,2023-12-17 20:09:47.946570,USDT,BUSDUSDT,1.00030000,SUSHIBUSD,0.56600000,SUSHIUSDT,1.16500000,200.0,411.477,422.9539999999999,BUY_BUY_SELL
